event_date,location,country,latitude,longitude,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,publication_date,event_year,total_occupants,fatality_rate,serious_injury_rate,destroyed,make_model
1986-04-08,"MESA, AZ",United States,,,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-23-250,No,2,Reciprocating,Personal,0,0,0,2,VMC,2011-08-03,1986,2,0.0,0.0,0,Piper Aircraft_PA-23-250
1986-04-15,"HANKAMER, TX",United States,,,Fatal(2),Destroyed,Airplane,Grumman Aerospace,G164A,No,1,Reciprocating,Aerial Application,2,0,0,0,VMC,2013-04-08,1986,2,1.0,0.0,1,Grumman Aerospace_G164A
1986-04-15,"HANKAMER, TX",United States,,,Fatal(2),Destroyed,Airplane,Grumman Aerospace,G164A,No,1,Reciprocating,Aerial Application,2,0,0,0,VMC,2013-04-08,1986,2,1.0,0.0,1,Grumman Aerospace_G164A
1986-05-19,"MEAD, WA",United States,,,Fatal(2),Destroyed,Airplane,Cessna Aircraft Company,TU206F,No,1,Reciprocating,Skydiving,2,0,1,0,VMC,2016-10-17,1986,3,0.6666666666666666,0.0,1,Cessna Aircraft Company_TU206F
1986-05-19,"MEAD, WA",United States,,,Fatal(2),Destroyed,Airplane,Cessna Aircraft Company,152,No,1,Reciprocating,Instructional,2,0,1,0,VMC,2016-10-17,1986,3,0.6666666666666666,0.0,1,Cessna Aircraft Company_152
1987-01-15,"KEARNS, UT",United States,,,Fatal(10),Destroyed,Airplane,Mooney,M-20C,No,1,Reciprocating,Instructional,10,0,0,0,VMC,2019-07-10,1987,10,1.0,0.0,1,Mooney_M-20C
1987-04-02,"JEAN, NV",United States,,,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA 16,No,,,Personal,0,0,0,1,VMC,2014-04-10,1987,1,0.0,0.0,0,Piper Aircraft_PA 16
1988-03-27,"OXFORD, United Kingdom",United Kingdom,,,Fatal(1),Destroyed,Airplane,Piper Aircraft,PA-38,No,0,,Instructional,1,0,0,0,,,1988,1,1.0,0.0,1,Piper Aircraft_PA-38
1988-04-05,"ST. PAUL, MN",United States,,,Non-Fatal,Substantial,Airplane,Beechcraft,B90,No,2,Turbo Prop,,0,0,0,5,IMC,2011-05-02,1988,5,0.0,0.0,0,Beechcraft_B90
1988-05-02,"NR TOKYO, Japan",Japan,,,Incident,Minor,Airplane,Boeing,747-123,No,4,Turbo Fan,,0,0,0,258,VMC,2016-02-02,1988,258,0.0,0.0,0,Boeing_747-123
1988-08-01,"SELBYVILLE, DE",United States,,,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,150K,No,1,Reciprocating,,0,0,0,1,VMC,2009-06-02,1988,1,0.0,0.0,0,Cessna Aircraft Company_150K
1988-08-07,"RACINE, WV",United States,,,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-180,No,1,Reciprocating,Ferry,0,0,1,0,VMC,2011-05-02,1988,1,0.0,0.0,0,Piper Aircraft_PA-28-180
1988-12-24,"MADISON, IN",United States,,,Fatal(2),Destroyed,Airplane,Cessna Aircraft Company,310R,No,2,Reciprocating,Positioning,2,0,0,0,VMC,2012-09-04,1988,2,1.0,0.0,1,Cessna Aircraft Company_310R
1989-04-27,"AINSWORTH, NE",United States,,,Fatal(3),Destroyed,Airplane,Maule,M-5,No,1,Reciprocating,Other Work Use,3,0,0,0,IMC,2012-08-17,1989,3,1.0,0.0,1,Maule_M-5
1989-06-15,"MIRAMAR, FL",United States,,,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,210L,No,1,Reciprocating,Personal,0,0,3,0,VMC,2010-11-15,1989,3,0.0,0.0,0,Cessna Aircraft Company_210L
